,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Malvada,Zé Felipe,2,21185310,9.8%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-02-04,2022-02-10
1,2,2.0,Malvadão 3,Xamã,8,17063733,-3.7%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-02-04,2022-02-10
2,3,3.0,Depende,Dj Guuga,8,11911917,8.7%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-02-04,2022-02-10
3,4,4.0,Vontade De Morder,Simone & Simaria & Zé Felipe,4,11243771,3.4%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-02-04,2022-02-10
4,5,6.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,4,9643194,-5.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-02-04,2022-02-10
5,6,7.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,13,9540854,-1.9%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-02-04,2022-02-10
6,7,9.0,Bloqueado (Ao Vivo),Gusttavo Lima,11,9466615,13.5%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-02-04,2022-02-10
7,8,5.0,212,Chefin & Mainstreet,4,9458442,-12.7%,https://www.youtube.com/watch?v=290Q1JFInHE,2022-02-04,2022-02-10
8,9,8.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",16,8636187,-2.9%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-02-04,2022-02-10
9,10,10.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,11,7493304,-6.1%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-02-04,2022-02-10
10,11,14.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,30,7247149,5.1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-02-04,2022-02-10
11,12,11.0,Parada Louca,Marcynho Sensação,13,7031276,-6.1%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2022-02-04,2022-02-10
12,13,13.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,15,6791344,-2%,https://www.youtube.com/watch?v=r2ma8WPRppk,2022-02-04,2022-02-10
13,14,15.0,Cabeça Branca (Live),Tierry,19,6103049,-6.9%,https://www.youtube.com/watch?v=J_jJhHhYW9w,2022-02-04,2022-02-10
14,15,16.0,Presepada,Marília Mendonça & Maiara & Maraisa,15,5827879,-4.6%,https://www.youtube.com/watch?v=MQv__TADEGM,2022-02-04,2022-02-10
15,16,18.0,GALOPA,PEDRO SAMPAIO,19,5722158,3.3%,https://www.youtube.com/watch?v=mo1NcPxKfQU,2022-02-04,2022-02-10
16,17,17.0,INVEJOSO,"Distrito 23, Raffé, Chefin & Oruam",13,5716603,-5%,https://www.youtube.com/watch?v=79KWwlhbOD8,2022-02-04,2022-02-10
17,18,,Botadinha Saliente,MC Rogerinho,1,5078101,,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-02-04,2022-02-10
18,19,47.0,Idiota (Ao Vivo),Jão,4,4619703,53%,https://www.youtube.com/watch?v=r2gppKSvBLE,2022-02-04,2022-02-10
19,20,28.0,Malvadão 3,Xamã,5,4587802,20.7%,https://www.youtube.com/watch?v=fo2iXmnmx0w,2022-02-04,2022-02-10
20,21,19.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,10,4577996,-2.6%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2022-02-04,2022-02-10
21,22,20.0,"MC Paiva - Vou Dichavando o Colombinha (Áudio Oficial) DJ Victor (feat. Mc Kadu, MC GP & Mc Kanhoto)","MC Ryan SP, Mc Paiva ZS & Mc IG",6,4457355,-3.4%,https://www.youtube.com/watch?v=6pNgNcGCSao,2022-02-04,2022-02-10
22,23,22.0,Todo Mundo Menos Você,Marília Mendonça & Maiara & Maraisa,20,4371330,-1.9%,https://www.youtube.com/watch?v=UDVr3ab3NVM,2022-02-04,2022-02-10
23,24,27.0,Proteção de Tela (Live),Tarcísio do Acordeon,32,4132157,7.7%,https://www.youtube.com/watch?v=edjih_b_NBQ,2022-02-04,2022-02-10
24,25,24.0,Esqueça-Me Se For Capaz,Marília Mendonça & Maiara & Maraisa,17,4096609,-4.5%,https://www.youtube.com/watch?v=I8va_ChEIAI,2022-02-04,2022-02-10
25,26,23.0,Não Vou Te Bloquear (Ao Vivo),"MC Don Juan, Tarcísio do Acordeon & DG e Batidão Stronda",7,4068151,-7.6%,https://www.youtube.com/watch?v=6lsOfEHb4C4,2022-02-04,2022-02-10
26,27,21.0,A Cara do Crime 2 (Cansou de Playboy),"Mc Poze do Rodo, Bielzin, Xamã & MC Cabelinho",4,4028053,-11.6%,https://www.youtube.com/watch?v=PJqHlzBiZ0A,2022-02-04,2022-02-10
27,28,26.0,Estrelinha (feat. Marília Mendonça),Di Paullo & Paulino,17,3799631,-2%,https://www.youtube.com/watch?v=88_jnJP0OtA,2022-02-04,2022-02-10
28,29,,ABALO EMOCIONAL (Ao Vivo),Luan Santana,1,3772296,,https://www.youtube.com/watch?v=cPGKKktrObc,2022-02-04,2022-02-10
29,30,,Amava Nada (Ao Vivo),Lucas Lucco & Marília Mendonça,1,3753542,,https://www.youtube.com/watch?v=4FaHeREoRUc,2022-02-04,2022-02-10
30,31,32.0,A Cara do Crime (Nós Incomoda),"Mc Poze do Rodo, Bielzin, Mainstreet, MC Cabelinho, PL Quest & Neo Beats",37,3739951,3.7%,https://www.youtube.com/watch?v=2PRAiVs3MVc,2022-02-04,2022-02-10
31,32,,Juliana bonde  🦜🦜🦜 PERIQUITA 🦜🦜  ( clip oficial ) 4k,Juliana Bonde,1,3697288,,https://www.youtube.com/watch?v=UDGZ1PesO1A,2022-02-04,2022-02-10
32,33,25.0,Baby Me Atende,Matheus Fernandes & Dilsinho,46,3663167,-7.2%,https://www.youtube.com/watch?v=qMEsx__88Gk,2022-02-04,2022-02-10
33,34,29.0,Revoada No Colchão,Zé Felipe & Marcynho Sensação,22,3646658,-2.4%,https://www.youtube.com/watch?v=0jnZreO4Dvs,2022-02-04,2022-02-10
34,35,39.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,23,3584786,9.3%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-02-04,2022-02-10
35,36,31.0,Anota Aí,MC Lipi ,8,3548636,-2.3%,https://www.youtube.com/watch?v=OXFN3ZMgaVk,2022-02-04,2022-02-10
36,37,12.0,Boys Don't Cry,Anitta,2,3539039,-51.6%,https://www.youtube.com/watch?v=PkzJgGZBFDg,2022-02-04,2022-02-10
37,38,30.0,Terra Prometida (feat. Mainstreet),Oruam & Zack Vox,3,3509609,-4.8%,https://www.youtube.com/watch?v=yvHbajFWOQE,2022-02-04,2022-02-10
38,39,33.0,A QUEDA,Gloria Groove,17,3489995,-0.6%,https://www.youtube.com/watch?v=BpxrvcYDnf4,2022-02-04,2022-02-10
39,40,36.0,Seu Perfil (Ao Vivo),Henrique & Juliano,2,3432907,-0.1%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-02-04,2022-02-10
40,41,37.0,Ficha Limpa (Ao Vivo),Gusttavo Lima,35,3353861,0.9%,https://www.youtube.com/watch?v=_7DKuv_xsuY,2022-02-04,2022-02-10
41,42,48.0,Molhando O Volante (Live),Jorge & Mateus,9,3346092,12.2%,https://www.youtube.com/watch?v=_SjTFD9qVuE,2022-02-04,2022-02-10
42,43,34.0,NO CHÃO NOVINHA,Anitta & PEDRO SAMPAIO,9,3336191,-4.3%,https://www.youtube.com/watch?v=ls74YCwYB4k,2022-02-04,2022-02-10
43,44,55.0,Novinha Malada do Insta,Mc Josh,4,3330901,27.2%,https://www.youtube.com/watch?v=yscpKRgaQdE,2022-02-04,2022-02-10
44,45,35.0,ANACONDA *o* ~~~,Luísa Sonza & Mariah Angeliq ,9,3316164,-3.8%,https://www.youtube.com/watch?v=iLTR0UyG2Yo,2022-02-04,2022-02-10
45,46,40.0,Senta Danada,Zé Felipe & Os Barões Da Pisadinha,30,3287669,0.6%,https://www.youtube.com/watch?v=kI5mmq5QIz4,2022-02-04,2022-02-10
46,47,41.0,Set dos Casados,"Mc Davi, MC Marks, MC Ryan SP, Mc Kevin, MC Don Juan, MC Hariel, MC G15, Mc Phe Cachorrera, Gaab, MC Menor da VG & MC Kapela",21,3198449,-0.7%,https://www.youtube.com/watch?v=g6yJVBaqMjo,2022-02-04,2022-02-10
47,48,44.0,Coração Gelado 3,"DJ BOY, MC Joãozinho VT, Mc Kako, MC Ryan SP, MC V7, MC Leozinho ZS, Mc IG & MC Letto",8,3095903,-2.2%,https://www.youtube.com/watch?v=2PkxaVyVLpE,2022-02-04,2022-02-10
48,49,45.0,Arranhão (Ao Vivo),Henrique & Juliano,27,3083594,1.9%,https://www.youtube.com/watch?v=2_xBCeBmaS8,2022-02-04,2022-02-10
49,50,42.0,Alívio,Jessé Aguiar,38,3067944,-3.9%,https://www.youtube.com/watch?v=JgLFoArntlI,2022-02-04,2022-02-10
50,51,38.0,Passando o Rodo (feat. Lara Silva),"POCAH, MC Mirella & Tainá Costa",10,3057434,-6.8%,https://www.youtube.com/watch?v=IEDv84S-gqw,2022-02-04,2022-02-10
51,52,43.0,LEILÃO,Gloria Groove,11,3053762,-3.8%,https://www.youtube.com/watch?v=X7cz9v6mHzg,2022-02-04,2022-02-10
52,53,,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,1,3046058,,https://www.youtube.com/watch?v=CJdhWgebwqA,2022-02-04,2022-02-10
53,54,81.0,ESSE É LADRÃO,DJ BRUNIN DA NT & MC Topre,3,2995487,78.1%,https://www.youtube.com/watch?v=4Y7c0DIdG3A,2022-02-04,2022-02-10
54,55,46.0,Enemy (feat. JID),Imagine Dragons,13,2991777,-1.1%,https://www.youtube.com/watch?v=D9G1VOjN_84,2022-02-04,2022-02-10
55,56,51.0,Saudade e Solidão (En Vivo),Vitor Fernandes,7,2832018,-0.8%,https://www.youtube.com/watch?v=SNbURUnTYCM,2022-02-04,2022-02-10
56,57,49.0,ONDA DO BERIMBAU,dj eduardo da favela do pó & MC Menor MT,7,2821739,-4.5%,https://www.youtube.com/watch?v=uiF6lbyVS-4,2022-02-04,2022-02-10
57,58,54.0,ESSÊNCIA DE CRIA (feat. Neo Beats),"MC Cabelinho, Bielzin, Mc Poze do Rodo & Tz da Coronel",8,2719581,-0.2%,https://www.youtube.com/watch?v=hyDElqwFnYI,2022-02-04,2022-02-10
58,59,52.0,Não Sei o Que Lá,Marília Mendonça & Maiara & Maraisa,18,2609440,-6.8%,https://www.youtube.com/watch?v=vMMRpr2PXSw,2022-02-04,2022-02-10
59,60,50.0,Coração Cachorro (Late Coração),Ávine Vinny & Matheus Fernandes,20,2557669,-11.8%,https://www.youtube.com/watch?v=pGttcnBBzW4,2022-02-04,2022-02-10
60,61,,Nota de Repúdio (Ao Vivo),Gusttavo Lima,21,2522418,,https://www.youtube.com/watch?v=y1TtVi6qm98,2022-02-04,2022-02-10
61,62,56.0,Quebradas,"MC Paulin da Capital, MC Lipi , Dj GM & MC Cabelinho",10,2456289,-2.4%,https://www.youtube.com/watch?v=ENHwrVK0wn8,2022-02-04,2022-02-10
62,63,,Ela e Ela,Zé Neto & Cristiano,21,2406681,,https://www.youtube.com/watch?v=jyFqlWOVOC0,2022-02-04,2022-02-10
63,64,57.0,Cruzeiro da Revoada,Hungria Hip-Hop & MC Ryan SP,10,2388878,-3.4%,https://www.youtube.com/watch?v=kezf4Fo7B9M,2022-02-04,2022-02-10
64,65,,Maquiagem,"MC Ryan SP, Pedro Lotto & André Nine",1,2380583,,https://www.youtube.com/watch?v=G0hd7MngdRQ,2022-02-04,2022-02-10
65,66,59.0,Motel Afrodite (Live),Marília Mendonça & Maiara & Maraisa,17,2339322,0.2%,https://www.youtube.com/watch?v=qZxXZ2UpaBs,2022-02-04,2022-02-10
66,67,61.0,Avisa Lá Pt.3,"MC Kelvinho, MC Hariel, Kayblack, -- & Kyan",20,2292098,2.7%,https://www.youtube.com/watch?v=vZcR9Qs0IlQ,2022-02-04,2022-02-10
67,68,68.0,Acordo (Ao Vivo),Henrique & Juliano,16,2278827,13.7%,https://www.youtube.com/watch?v=Rr5yQs-s0_0,2022-02-04,2022-02-10
68,69,58.0,Ela me Falou Que Quer Rave,"MC LEVIN, DJ Nikolas Alves Exclusive, Dj Kaioken & Dj Gege",16,2222839,-7.2%,https://www.youtube.com/watch?v=,2022-02-04,2022-02-10
69,70,65.0,"MT Eu Fiquei Com Uma Puta, Uma Puta Vontade VS Beat Serie Gold",Dj menor do sb,4,2180239,3.6%,https://www.youtube.com/watch?v=UL7-YIS_R4Y,2022-02-04,2022-02-10
70,71,,Hoje Eu Vou Te Usar,Mari Fernandez & Felipe Amorim,1,2173754,,https://www.youtube.com/watch?v=_0bDIQgliHg,2022-02-04,2022-02-10
71,72,69.0,Formosa,Kaio Viana & MC CJ,8,2124171,6.6%,https://www.youtube.com/watch?v=HVSSnhgm8So,2022-02-04,2022-02-10
72,73,60.0,Uma Ex (Ao Vivo),Murilo Huff & Jorge,16,2118544,-5.9%,https://www.youtube.com/watch?v=veKig4zrOFs,2022-02-04,2022-02-10
73,74,62.0,Sem Dó,Matuê & L7NNON,6,2090184,-5.8%,https://www.youtube.com/watch?v=G-zyOLsfEBQ,2022-02-04,2022-02-10
74,75,84.0,Socadona (feat. Mr. Vegas),"Ludmilla, Mariah Angeliq  & Topo La Mascara",2,2042018,29%,https://www.youtube.com/watch?v=15wVHmz_Aag,2022-02-04,2022-02-10
75,76,70.0,MALDITA PERIGOSA,DJ VILÃO & MC Scar,7,1997520,2.7%,https://www.youtube.com/watch?v=Amf8JCOKCUA,2022-02-04,2022-02-10
76,77,64.0,Passar de Foguetão 2 (Ao vivo),"MC Don Juan, MC Hariel & MC Ryan SP",14,1975378,-6.6%,https://www.youtube.com/watch?v=GBXt9oB407c,2022-02-04,2022-02-10
77,78,73.0,Chá De Casa Nova (Ao Vivo),Henrique & Juliano,9,1949144,6.6%,https://www.youtube.com/watch?v=9Et53l5l-FE,2022-02-04,2022-02-10
78,79,71.0,Não Me Arranha (Ao Vivo),Gusttavo Lima,18,1897145,-1.3%,https://www.youtube.com/watch?v=CGbvMQ7xDtE,2022-02-04,2022-02-10
79,80,77.0,Putariazinha,Felipe Amorim,20,1848546,3.7%,https://www.youtube.com/watch?v=_30UknzUmcw,2022-02-04,2022-02-10
80,81,66.0,Maldivas,Ludmilla,2,1830283,-9.4%,https://www.youtube.com/watch?v=VsIp4-vnqlw,2022-02-04,2022-02-10
81,82,63.0,BALANÇA O OMBRINHO TRAVA PARA E JOGA O CABELO - CALMA RESPIRA,Dj LK da Escócia,7,1829151,-13.7%,https://www.youtube.com/watch?v=BM-OhbQE7Rw,2022-02-04,2022-02-10
82,83,72.0,Eu Já Tava Bem (Ao Vivo),Wesley Safadão,10,1824937,-0.9%,https://www.youtube.com/watch?v=XpNWBVtXFsI,2022-02-04,2022-02-10
83,84,,Iphone Branco,Borges & Mainstreet,1,1792712,,https://www.youtube.com/watch?v=xv8NrFQqKJ8,2022-02-04,2022-02-10
84,85,78.0,Numanice Lud Session: Modo Avião / A Tua Voz / 700 Por Hora / Radar / A Música Mais Triste do Ano (Ao vivo),Ludmilla & Gloria Groove,7,1769677,0.3%,https://www.youtube.com/watch?v=lhDKryCuhhs,2022-02-04,2022-02-10
85,86,74.0,Fã Clube,Marília Mendonça & Maiara & Maraisa,14,1698272,-7%,https://www.youtube.com/watch?v=gwS9nU4Aavw,2022-02-04,2022-02-10
86,87,80.0,Voltei pra Cachorrada,"DJ Jeeh FDC, MC Meno Dani & DJ Cyclone",11,1678728,-0.6%,https://www.youtube.com/watch?v=0aZWoY4rkFo,2022-02-04,2022-02-10
87,88,94.0,Easy On Me,Adele,10,1662618,15.1%,https://www.youtube.com/watch?v=X-yIEMduRXk,2022-02-04,2022-02-10
88,89,,Joga na Cara,MC Braz & MC Gabluca,1,1650426,,https://www.youtube.com/watch?v=G75DLlt1GuQ,2022-02-04,2022-02-10
89,90,,Senta Com Amor,Furacão Hit,1,1640094,,https://www.youtube.com/watch?v=krfwVY9HaDk,2022-02-04,2022-02-10
90,91,,SEU DOUTOR (Ao Vivo),Luan Santana,1,1631239,,https://www.youtube.com/watch?v=XR4Zp0N6xgU,2022-02-04,2022-02-10
91,92,86.0,EU VOU DESCENDO SIM (Ao Vivo),"Marcynho Sensação, MC Henny, Bella Angel Feat. Aryel & Melody",7,1609658,3.7%,https://www.youtube.com/watch?v=l6YxlH5xoiw,2022-02-04,2022-02-10
92,93,90.0,Quebrando Protocolo (Ao Vivo),Gusttavo Lima & Dendelzinho,13,1569690,7.1%,https://www.youtube.com/watch?v=HYuWGkQhkeo,2022-02-04,2022-02-10
93,94,75.0,Ficamento (Ao Vivo),Henrique & Juliano,2,1564040,-14.3%,https://www.youtube.com/watch?v=LYi-JwPBB84,2022-02-04,2022-02-10
94,95,79.0,Menina Debochada,Bárbara Labres & Dan Ventura,6,1549418,-9.5%,https://www.youtube.com/watch?v=lvnqCPJ1sLM,2022-02-04,2022-02-10
95,96,88.0,Universo Conspirou (Ao Vivo),Henrique & Juliano,6,1534528,2.7%,https://www.youtube.com/watch?v=FpsTsW408s4,2022-02-04,2022-02-10
96,97,,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,1,1533732,,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-02-04,2022-02-10
97,98,85.0,Pendência (Ao Vivo),Gusttavo Lima,9,1520013,-2.8%,https://www.youtube.com/watch?v=GBQEYYSjEpY,2022-02-04,2022-02-10
98,99,,Será que Dá Certo,Vitor Fernandes & João Gomes,5,1503511,,https://www.youtube.com/watch?v=wOU46EfrjQs,2022-02-04,2022-02-10
99,100,,De Garrafa A Pior (Ao Vivo),Henrique & Juliano,4,1501857,,https://www.youtube.com/watch?v=sf6TheG62PY,2022-02-04,2022-02-10
